"Código provincia";"Código Municipio";"NOMBRE";"Población total";"Varones ";"Mujeres"
"01";"0014";"Alegría-Dulantzi";1.259;656;603
"01";"0029";"Amurrio";9.753;4.854;4.899
"01";"0493";"Añana";185;94;91
"01";"0035";"Aramaio";1.365;721;644
"01";"0066";"Armiñón";145;75;70
"01";"0376";"Arraia-Maeztu";692;369;323
"01";"0088";"Arrazua-Ubarrundia";761;399;362
"01";"0040";"Artziniega";1.317;660;657
"01";"0091";"Asparrena";1.544;771;773
"01";"0105";"Ayala/Aiara";2.001;995;1.006
"01";"0112";"Baños de Ebro/Mañueta";334;182;152
"01";"0133";"Barrundia";586;329;257
"01";"0148";"Berantevilla";406;211;195
"01";"0164";"Bernedo";548;316;232
"01";"0170";"Campezo/Kanpezu";1.073;560;513
"01";"0210";"Elburgo";231;128;103
"01";"0225";"Elciego";909;462;447
"01";"0231";"Elvillar/Bilar";352;189;163
"01";"0565";"Harana/Valle de Arana";358;198;160
"01";"9015";"Iruña Oka/Iruña de Oca";1.683;886;797
"01";"0278";"Iruraiz-Gauna";417;231;186
"01";"0199";"Kripan";187;96;91
"01";"0203";"Kuartango";362;203;159
"01";"0284";"Labastida";1.177;627;550
"01";"0301";"Lagrán";195;105;90
"01";"0318";"Laguardia";1.409;724;685
"01";"0323";"Lanciego/Lantziego";645;335;310
"01";"9020";"Lantarón";901;509;392
"01";"0339";"Lapuebla de Labarca";864;437;427
"01";"0587";"Legutiano";1.324;693;631
"01";"0344";"Leza";172;93;79
"01";"0360";"Llodio";19.694;9.859;9.835
"01";"0395";"Moreda de Álava";289;155;134
"01";"0416";"Navaridas";217;122;95
"01";"0421";"Okondo";810;414;396
"01";"0437";"Oyón/Oion";2.246;1.133;1.113
"01";"0442";"Peñacerrada-Urizaharra";243;134;109
"01";"0468";"Ribera Alta";518;302;216
"01";"0474";"Ribera Baja/Erribera Beitia";499;274;225
"01";"0513";"Salvatierra o Agurain";3.876;1.940;1.936
"01";"0528";"Samaniego";305;150;155
"01";"0534";"San Millán/Donemiliaga";700;382;318
"01";"0549";"Urkabustaiz";821;453;368
"01";"0552";"Valdegovía";896;488;408
"01";"0571";"Villabuena de Álava/Eskuernaga";339;167;172
"01";"0590";"Vitoria-Gasteiz";216.527;106.454;110.073
"01";"0604";"Yécora";252;124;128
"01";"0611";"Zalduondo";132;71;61
"01";"0626";"Zambrana";366;194;172
"01";"0186";"Zigoitia";1.132;630;502
"01";"0632";"Zuia";1.578;796;782
"02";"0019";"Abengibre";1.007;499;508
"02";"0024";"Alatoz";675;351;324
"02";"0030";"Albacete";145.454;71.126;74.328
"02";"0045";"Albatana";874;442;432
"02";"0058";"Alborea";809;428;381
"02";"0061";"Alcadozo";779;395;384
"02";"0077";"Alcalá del Júcar";1.512;777;735
"02";"0083";"Alcaraz";1.730;831;899
"02";"0096";"Almansa";23.658;11.674;11.984
"02";"0100";"Alpera";2.324;1.188;1.136
"02";"0117";"Ayna";1.003;505;498
"02";"0122";"Balazote";2.223;1.121;1.102
"02";"0143";"Ballestero (El)";573;283;290
"02";"0138";"Balsa de Ves";261;146;115
"02";"0156";"Barrax";1.952;981;971
"02";"0169";"Bienservida";906;461;445
"02";"0175";"Bogarra";1.369;725;644
"02";"0181";"Bonete";1.240;627;613
"02";"0194";"Bonillo (El)";3.310;1.677;1.633
"02";"0208";"Carcelén";662;352;310
"02";"0241";"Casas-Ibáñez";4.058;2.046;2.012
"02";"0215";"Casas de Juan Núñez";1.279;666;613
"02";"0220";"Casas de Lázaro";451;243;208
"02";"0236";"Casas de Ves";912;474;438
"02";"0254";"Caudete";8.827;4.397;4.430
"02";"0267";"Cenizate";1.066;555;511
"02";"0292";"Chinchilla de Monte-Aragón";3.190;1.650;1.540
"02";"0273";"Corral-Rubio";460;230;230
"02";"0289";"Cotillas";219;109;110
"02";"0306";"Elche de la Sierra";3.943;1.964;1.979
"02";"0313";"Férez";787;395;392
"02";"0328";"Fuensanta";381;192;189
"02";"0334";"Fuente-Álamo";2.447;1.243;1.204
"02";"0349";"Fuentealbilla";1.805;914;891
"02";"0352";"Gineta (La)";2.065;1.006;1.059
"02";"0365";"Golosalvo";119;57;62
"02";"0371";"Hellín";25.978;12.871;13.107
"02";"0387";"Herrera (La)";395;204;191
"02";"0390";"Higueruela";1.313;661;652
"02";"0404";"Hoya-Gonzalo";750;377;373
"02";"0411";"Jorquera";587;314;273
"02";"0426";"Letur";1.387;685;702
"02";"0432";"Lezuza";1.804;947;857
"02";"0447";"Liétor";1.685;867;818
"02";"0450";"Madrigueras";4.503;2.274;2.229
"02";"0463";"Mahora";1.353;670;683
"02";"0479";"Masegoso";168;98;70
"02";"0485";"Minaya";1.785;899;886
"02";"0498";"Molinicos";1.397;716;681
"02";"0501";"Montalvos";145;73;72
"02";"0518";"Montealegre del Castillo";2.115;1.066;1.049
"02";"0523";"Motilleja";510;252;258
"02";"0539";"Munera";4.069;2.044;2.025
"02";"0544";"Navas de Jorquera";535;274;261
"02";"0557";"Nerpio";1.792;959;833
"02";"0560";"Ontur";2.428;1.197;1.231
"02";"0576";"Ossa de Montiel";2.790;1.387;1.403
"02";"0582";"Paterna del Madera";583;302;281
"02";"0609";"Peñas de San Pedro";1.244;658;586
"02";"0595";"Peñascosa";418;216;202
"02";"0616";"Pétrola";927;474;453
"02";"0621";"Povedilla";721;376;345
"02";"0642";"Pozo-Lorente";539;260;279
"02";"0637";"Pozohondo";1.852;949;903
"02";"0655";"Pozuelo";674;349;325
"02";"0668";"Recueja (La)";350;176;174
"02";"0674";"Riópar";1.420;733;687
"02";"0680";"Robledo";431;227;204
"02";"0693";"Roda (La)";13.583;6.808;6.775
"02";"0707";"Salobre";622;322;300
"02";"0714";"San Pedro";1.326;672;654
"02";"0729";"Socovos";2.032;1.044;988
"02";"0735";"Tarazona de la Mancha";6.010;2.999;3.011
"02";"0740";"Tobarra";7.435;3.731;3.704
"02";"0753";"Valdeganga";1.966;994;972
"02";"0766";"Vianos";489;240;249
"02";"0772";"Villa de Ves";61;29;32
"02";"0788";"Villalgordo del Júcar";1.329;665;664
"02";"0791";"Villamalea";3.459;1.771;1.688
"02";"0805";"Villapalacios";860;433;427
"02";"0812";"Villarrobledo";22.178;10.833;11.345
"02";"0827";"Villatoya";193;99;94
"02";"0833";"Villavaliente";291;152;139
"02";"0848";"Villaverde de Guadalimar";564;301;263
"02";"0851";"Viveros";564;302;262
"02";"0864";"Yeste";4.657;2.378;2.279
"03";"0015";"Adsubia";579;296;283
"03";"0020";"Agost";4.023;1.998;2.025
"03";"0036";"Agres";651;339;312
"03";"0041";"Aigües";558;286;272
"03";"0054";"Albatera";8.521;4.293;4.228
"03";"0067";"Alcalalí";818;410;408
"03";"0073";"Alcocer de Planes";130;55;75
"03";"0089";"Alcoleja";279;134;145
"03";"0092";"Alcoy/Alcoi";60.476;29.135;31.341
"03";"0106";"Alfafara";392;190;202
"03";"0113";"Alfàs del Pi (l')";13.145;6.403;6.742
"03";"0128";"Algorfa";1.168;590;578
"03";"0134";"Algueña";1.428;692;736
"03";"0149";"Alicante/Alacant";272.432;130.607;141.825
"03";"0152";"Almoradí";13.499;6.809;6.690
"03";"0165";"Almudaina";118;62;56
"03";"0171";"Alqueria d'Asnar (l')";395;199;196
"03";"0187";"Altea";13.976;6.872;7.104
"03";"0190";"Aspe";16.406;8.204;8.202
"03";"0204";"Balones";178;85;93
"03";"0211";"Banyeres de Mariola";6.848;3.398;3.450
"03";"0226";"Benasau";200;98;102
"03";"0232";"Beneixama";1.796;891;905
"03";"0247";"Benejúzar";5.067;2.518;2.549
"03";"0250";"Benferri";982;492;490
"03";"0263";"Beniarbeig";1.205;586;619
"03";"0279";"Beniardá";216;101;115
"03";"0285";"Beniarrés";1.447;727;720
"03";"0298";"Benichembla";382;194;188
"03";"0302";"Benidoleig";781;375;406
"03";"0319";"Benidorm";50.946;24.985;25.961
"03";"0324";"Benifallim";151;71;80
"03";"0330";"Benifato";136;67;69
"03";"0345";"Benijófar";1.621;790;831
"03";"0358";"Benilloba";926;469;457
"03";"0361";"Benillup";95;49;46
"03";"0377";"Benimantell";417;198;219
"03";"0383";"Benimarfull";407;187;220
"03";"0396";"Benimassot";108;56;52
"03";"0400";"Benimeli";331;164;167
"03";"0417";"Benissa";9.368;4.652;4.716
"03";"0422";"Benitachell/Poble Nou de Benitatxell (el)";2.002;1.000;1.002
"03";"0438";"Biar";3.528;1.711;1.817
"03";"0443";"Bigastro";4.784;2.424;2.360
"03";"0456";"Bolulla";302;148;154
"03";"0469";"Busot";1.502;744;758
"03";"0494";"Callosa de Segura";15.150;7.547;7.603
"03";"0481";"Callosa d'En Sarrià";6.370;3.189;3.181
"03";"0475";"Calpe/Calp";14.819;7.418;7.401
"03";"0507";"Campello (el)";16.173;8.020;8.153
"03";"0514";"Campo de Mirra/Camp de Mirra (el)";382;186;196
"03";"0529";"Cañada";1.096;523;573
"03";"0535";"Castalla";7.583;3.742;3.841
"03";"0540";"Castell de Castells";471;235;236
"03";"0553";"Catral";4.894;2.427;2.467
"03";"0566";"Cocentaina";10.572;5.180;5.392
"03";"0572";"Confrides";283;164;119
"03";"0588";"Cox";5.794;2.918;2.876
"03";"0591";"Crevillente";23.945;12.032;11.913
"03";"0612";"Daya Nueva";1.142;593;549
"03";"0627";"Daya Vieja";168;84;84
"03";"0633";"Dénia";28.629;13.955;14.674
"03";"0648";"Dolores";6.144;3.102;3.042
"03";"0651";"Elche/Elx";191.713;94.650;97.063
"03";"0664";"Elda";52.490;25.578;26.912
"03";"0670";"Facheca";121;65;56
"03";"0686";"Famorca";66;31;35
"03";"0699";"Finestrat";1.735;858;877
"03";"0703";"Formentera del Segura";2.032;992;1.040
"03";"0725";"Gaianes";301;134;167
"03";"0710";"Gata de Gorgos";5.008;2.485;2.523
"03";"0731";"Gorga";258;134;124
"03";"0746";"Granja de Rocamora";2.071;1.038;1.033
"03";"0759";"Guadalest";177;91;86
"03";"0762";"Guardamar del Segura";8.490;4.231;4.259
"03";"0778";"Hondón de las Nieves";1.563;770;793
"03";"0784";"Hondón de los Frailes";562;281;281
"03";"0797";"Ibi";21.075;10.433;10.642
"03";"0801";"Jacarilla";1.539;772;767
"03";"0818";"Jalón/Xaló";2.032;994;1.038
"03";"0823";"Jávea/Xàbia";21.084;10.451;10.633
"03";"0839";"Jijona/Xixona";7.453;3.486;3.967
"03";"0857";"Llíber";525;261;264
"03";"0844";"Lorcha/Orxa (l')";786;393;393
"03";"0860";"Millena";144;70;74
"03";"0882";"Monforte del Cid";5.163;2.654;2.509
"03";"0895";"Monóvar/Monòver";11.978;5.854;6.124
"03";"9037";"Montesinos (Los)";2.472;1.255;1.217
"03";"0916";"Murla";319;136;183
"03";"0921";"Muro de Alcoy";7.140;3.518;3.622
"03";"0909";"Mutxamel";13.267;6.662;6.605
"03";"0937";"Novelda";23.190;11.428;11.762
"03";"0942";"Nucia (la)";7.303;3.613;3.690
"03";"0955";"Ondara";5.216;2.612;2.604
"03";"0968";"Onil";6.788;3.402;3.386
"03";"0974";"Orba";1.574;761;813
"03";"0993";"Orihuela";50.581;24.996;25.585
"03";"0980";"Orxeta";444;224;220
"03";"1007";"Parcent";785;384;401
"03";"1014";"Pedreguer";5.815;2.823;2.992
"03";"1029";"Pego";10.177;5.184;4.993
"03";"1035";"Penàguila";335;155;180
"03";"1040";"Petrer";27.604;13.730;13.874
"03";"9021";"Pilar de la Horadada";10.210;5.442;4.768
"03";"1053";"Pinoso";6.026;2.992;3.034
"03";"1066";"Planes";809;403;406
"03";"9016";"Poblets (els)";1.368;663;705
"03";"1072";"Polop";2.009;975;1.034
"03";"0605";"Quatretondeta";185;92;93
"03";"1091";"Rafal";3.081;1.534;1.547
"03";"1105";"Ráfol de Almunia";364;176;188
"03";"1112";"Redován";5.348;2.741;2.607
"03";"1127";"Relleu";815;405;410
"03";"1133";"Rojales";7.048;3.455;3.593
"03";"1148";"Romana (la)";1.978;1.005;973
"03";"1151";"Sagra";389;192;197
"03";"1164";"Salinas";1.180;596;584
"03";"1186";"San Fulgencio";3.149;1.572;1.577
"03";"9042";"San Isidro";1.253;653;600
"03";"1199";"San Juan de Alicante";16.299;7.982;8.317
"03";"1203";"San Miguel de Salinas";3.594;1.838;1.756
"03";"1225";"San Vicente del Raspeig/Sant Vicent del Raspeig";36.291;17.940;18.351
"03";"1170";"Sanet y Negrals";546;250;296
"03";"1210";"Santa Pola";17.600;8.704;8.896
"03";"1231";"Sax";8.581;4.313;4.268
"03";"1246";"Sella";579;293;286
"03";"1259";"Senija";479;252;227
"03";"1278";"Tárbena";701;341;360
"03";"1284";"Teulada";8.672;4.309;4.363
"03";"1297";"Tibi";1.197;618;579
"03";"1301";"Tollos";43;27;16
"03";"1318";"Tormos";299;143;156
"03";"1323";"Torremanzanas/Torre de les Maçanes (la)";727;363;364
"03";"1339";"Torrevieja";38.336;18.890;19.446
"03";"1344";"Vall d'Alcalà (la)";176;82;94
"03";"1357";"Vall de Ebo";333;171;162
"03";"1360";"Vall de Gallinera";614;319;295
"03";"1376";"Vall de Laguart";904;436;468
"03";"1382";"Verger (el)";3.538;1.699;1.839
"03";"1395";"Villajoyosa/Vila Joiosa (la)";22.969;11.292;11.677
"03";"1409";"Villena";31.532;15.564;15.968
"04";"0010";"Abla";1.516;746;770
"04";"0025";"Abrucena";1.462;716;746
"04";"0031";"Adra";21.016;10.521;10.495
"04";"0046";"Albánchez";605;303;302
"04";"0059";"Alboloduy";813;385;428
"04";"0062";"Albox";9.471;4.754;4.717
"04";"0078";"Alcolea";849;427;422
"04";"0084";"Alcóntar";603;308;295
"04";"0097";"Alcudia de Monteagud";159;75;84
"04";"0101";"Alhabia";675;328;347
"04";"0118";"Alhama de Almería";3.111;1.551;1.560
"04";"0123";"Alicún";245;118;127
"04";"0139";"Almería";168.025;81.480;86.545
"04";"0144";"Almócita";187;97;90
"04";"0157";"Alsodux";106;53;53
"04";"0160";"Antas";2.666;1.314;1.352
"04";"0176";"Arboleas";1.540;781;759
"04";"0182";"Armuña de Almanzora";330;160;170
"04";"0195";"Bacares";278;146;132
"04";"0209";"Bayárcal";334;178;156
"04";"0216";"Bayarque";237;112;125
"04";"0221";"Bédar";550;290;260
"04";"0237";"Beires";141;67;74
"04";"0242";"Benahadux";2.740;1.300;1.440
"04";"0268";"Benitagla";86;45;41
"04";"0274";"Benizalón";324;169;155
"04";"0280";"Bentarique";319;166;153
"04";"0293";"Berja";13.197;6.295;6.902
"04";"0307";"Canjáyar";1.728;873;855
"04";"0314";"Cantoria";3.206;1.611;1.595
"04";"0329";"Carboneras";6.312;3.230;3.082
"04";"0335";"Castro de Filabres";181;88;93
"04";"0366";"Chercos";298;156;142
"04";"0372";"Chirivel";1.837;912;925
"04";"0340";"Cóbdar";255;128;127
"04";"0353";"Cuevas del Almanzora";9.495;4.723;4.772
"04";"0388";"Dalías";3.639;1.800;1.839
"04";"9026";"Ejido (El)";50.170;26.335;23.835
"04";"0412";"Enix";232;122;110
"04";"0433";"Felix";565;284;281
"04";"0448";"Fines";1.716;870;846
"04";"0451";"Fiñana";2.607;1.281;1.326
"04";"0464";"Fondón";918;469;449
"04";"0470";"Gádor";2.577;1.276;1.301
"04";"0486";"Gallardos (Los)";1.738;874;864
"04";"0499";"Garrucha";5.001;2.530;2.471
"04";"0502";"Gérgal";1.063;520;543
"04";"0519";"Huécija";532;269;263
"04";"0530";"Huércal-Overa";13.839;6.811;7.028
"04";"0524";"Huércal de Almería";5.951;3.005;2.946
"04";"0545";"Illar";469;224;245
"04";"0558";"Instinción";545;264;281
"04";"0561";"Laroya";108;57;51
"04";"0577";"Láujar de Andarax";1.830;896;934
"04";"0583";"Líjar";502;248;254
"04";"0596";"Lubrín";1.780;853;927
"04";"0600";"Lucainena de las Torres";565;283;282
"04";"0617";"Lúcar";786;389;397
"04";"0622";"Macael";5.828;2.959;2.869
"04";"0638";"María";1.635;842;793
"04";"0643";"Mojácar";4.525;2.232;2.293
"04";"9032";"Mojonera (La)";6.561;3.530;3.031
"04";"0656";"Nacimiento";539;268;271
"04";"0669";"Níjar";15.406;8.017;7.389
"04";"0675";"Ohanes";811;405;406
"04";"0681";"Olula de Castro";178;87;91
"04";"0694";"Olula del Río";5.952;2.959;2.993
"04";"0708";"Oria";2.121;1.076;1.045
"04";"0715";"Padules";491;245;246
"04";"0720";"Partaloa";381;187;194
"04";"0736";"Paterna del Río";363;197;166
"04";"0741";"Pechina";2.663;1.350;1.313
"04";"0754";"Pulpí";5.291;2.559;2.732
"04";"0767";"Purchena";1.634;791;843
"04";"0773";"Rágol";384;175;209
"04";"0789";"Rioja";1.185;586;599
"04";"0792";"Roquetas de Mar";40.582;20.862;19.720
"04";"0806";"Santa Cruz de Marchena";219;98;121
"04";"0813";"Santa Fe de Mondújar";412;200;212
"04";"0828";"Senés";335;170;165
"04";"0834";"Serón";2.673;1.298;1.375
"04";"0849";"Sierro";495;244;251
"04";"0852";"Somontín";500;249;251
"04";"0865";"Sorbas";2.748;1.389;1.359
"04";"0871";"Suflí";246;125;121
"04";"0887";"Tabernas";3.241;1.630;1.611
"04";"0890";"Taberno";1.002;495;507
"04";"0904";"Tahal";368;194;174
"04";"0911";"Terque";430;222;208
"04";"0926";"Tíjola";3.796;1.855;1.941
"04";"9011";"Tres Villas (Las)";630;333;297
"04";"0932";"Turre";2.151;1.054;1.097
"04";"0947";"Turrillas";242;126;116
"04";"0950";"Uleila del Campo";969;496;473
"04";"0963";"Urrácal";332;161;171
"04";"0979";"Velefique";312;159;153
"04";"0985";"Vélez-Blanco";2.190;1.119;1.071
"04";"0998";"Vélez-Rubio";6.463;3.084;3.379
"04";"1002";"Vera";6.695;3.354;3.341
"04";"1019";"Viator";3.385;1.638;1.747
"04";"1024";"Vícar";14.973;7.879;7.094
"04";"1030";"Zurgena";2.081;1.012;1.069
"05";"0013";"Adanero";321;169;152
"05";"0028";"Adrada (La)";1.979;1.027;952
"05";"0052";"Albornos";272;152;120
"05";"0071";"Aldeanueva de Santa Cruz";189;101;88
"05";"0087";"Aldeaseca";348;179;169
"05";"0104";"Aldehuela (La)";284;139;145
"05";"0126";"Amavida";199;101;98
"05";"0132";"Arenal (El)";1.090;525;565
"05";"0147";"Arenas de San Pedro";6.348;3.127;3.221
"05";"0150";"Arevalillo";136;65;71
"05";"0163";"Arévalo";7.414;3.595;3.819
"05";"0179";"Aveinte";144;76;68
"05";"0185";"Avellaneda";38;19;19
"05";"0198";"Ávila";47.650;22.927;24.723
"05";"0219";"Barco de Ávila (El)";2.649;1.309;1.340
"05";"0224";"Barraco (El)";2.025;1.030;995
"05";"0230";"Barromán";256;144;112
"05";"0245";"Becedas";445;234;211
"05";"0258";"Becedillas";174;92;82
"05";"0261";"Bercial de Zapardiel";321;154;167
"05";"0277";"Berlanas (Las)";347;180;167
"05";"0296";"Bernuy-Zapardiel";245;137;108
"05";"0300";"Berrocalejo de Aragona";42;22;20
"05";"0338";"Blascomillán";304;147;157
"05";"0343";"Blasconuño de Matacabras";24;13;11
"05";"0356";"Blascosancho";152;73;79
"05";"0369";"Bohodón (El)";206;100;106
"05";"0375";"Bohoyo";472;240;232
"05";"0381";"Bonilla de la Sierra";198;108;90
"05";"0394";"Brabos";70;40;30
"05";"0408";"Bularros";119;65;54
"05";"0415";"Burgohondo";1.221;627;594
"05";"0420";"Cabezas de Alambre";238;125;113
"05";"0436";"Cabezas del Pozo";172;91;81
"05";"0441";"Cabezas del Villar";501;264;237
"05";"0454";"Cabizuela";155;79;76
"05";"0467";"Canales";67;36;31
"05";"0473";"Candeleda";5.137;2.641;2.496
"05";"0489";"Cantiveros";197;102;95
"05";"0492";"Cardeñosa";578;309;269
"05";"0512";"Carrera (La)";292;138;154
"05";"0527";"Casas del Puerto de Villatoro";109;60;49
"05";"0533";"Casasola";176;93;83
"05";"0548";"Casavieja";1.644;854;790
"05";"0551";"Casillas";896;456;440
"05";"0564";"Castellanos de Zapardiel";147;83;64
"05";"0570";"Cebreros";3.317;1.662;1.655
"05";"0586";"Cepeda la Mora";151;79;72
"05";"0678";"Chamartín";119;67;52
"05";"0599";"Cillán";153;81;72
"05";"0603";"Cisla";195;94;101
"05";"0610";"Colilla (La)";201;107;94
"05";"0625";"Collado de Contreras";274;150;124
"05";"0631";"Collado del Mirón";87;44;43
"05";"0646";"Constanzana";194;101;93
"05";"0659";"Crespos";771;401;370
"05";"0662";"Cuevas del Valle";659;357;302
"05";"9035";"Diego del Carpio";319;175;144
"05";"0697";"Donjimeno";143;76;67
"05";"0701";"Donvidas";73;37;36
"05";"0723";"Espinosa de los Caballeros";107;60;47
"05";"0739";"Flores de Ávila";446;231;215
"05";"0744";"Fontiveros";1.014;519;495
"05";"0757";"Fresnedilla";111;50;61
"05";"0760";"Fresno (El)";465;238;227
"05";"0776";"Fuente el Saúz";334;177;157
"05";"0782";"Fuentes de Año";215;114;101
"05";"0795";"Gallegos de Altamiros";102;54;48
"05";"0809";"Gallegos de Sobrinos";109;50;59
"05";"0816";"Garganta del Villar";80;46;34
"05";"0821";"Gavilanes";745;423;322
"05";"0837";"Gemuño";230;108;122
"05";"0855";"Gil García";68;33;35
"05";"0842";"Gilbuena";147;81;66
"05";"0868";"Gimialcón";127;69;58
"05";"0874";"Gotarrendura";179;66;113
"05";"0880";"Grandes y San Martín";53;27;26
"05";"0893";"Guisando";688;368;320
"05";"0907";"Gutierre-Muñoz";127;64;63
"05";"0929";"Hernansancho";230;117;113
"05";"0935";"Herradón de Pinares";488;246;242
"05";"0940";"Herreros de Suso";238;119;119
"05";"0953";"Higuera de las Dueñas";322;179;143
"05";"0966";"Hija de Dios (La)";118;66;52
"05";"0972";"Horcajada (La)";839;410;429
"05";"0991";"Horcajo de las Torres";827;454;373
"05";"1005";"Hornillo (El)";432;222;210
"05";"1027";"Hoyo de Pinares (El)";2.455;1.254;1.201
"05";"1012";"Hoyocasero";414;215;199
"05";"1033";"Hoyorredondo";128;68;60
"05";"1064";"Hoyos de Miguel Muñoz";57;29;28
"05";"1048";"Hoyos del Collado";50;30;20
"05";"1051";"Hoyos del Espino";405;225;180
"05";"1070";"Hurtumpascual";116;64;52
"05";"1086";"Junciana";100;52;48
"05";"1099";"Langa";605;312;293
"05";"1103";"Lanzahíta";912;472;440
"05";"1131";"Llanos de Tormes (Los)";135;71;64
"05";"1125";"Losar del Barco (El)";147;76;71
"05";"1146";"Madrigal de las Altas Torres";2.028;1.036;992
"05";"1159";"Maello";655;322;333
"05";"1162";"Malpartida de Corneja";228;113;115
"05";"1178";"Mamblas";284;156;128
"05";"1184";"Mancera de Arriba";149;73;76
"05";"1197";"Manjabálago";76;40;36
"05";"1201";"Marlín";51;28;23
"05";"1218";"Martiherrero";208;110;98
"05";"1223";"Martínez";254;133;121
"05";"1239";"Mediana de Voltoya";109;59;50
"05";"1244";"Medinilla";235;118;117
"05";"1257";"Mengamuñoz";73;32;41
"05";"1260";"Mesegar de Corneja";125;64;61
"05";"1276";"Mijares";1.013;518;495
"05";"1282";"Mingorría";547;271;276
"05";"1295";"Mirón (El)";263;153;110
"05";"1309";"Mironcillo";130;73;57
"05";"1316";"Mirueña de los Infanzones";203;102;101
"05";"1321";"Mombeltrán";1.198;637;561
"05";"1337";"Monsalupe";92;47;45
"05";"1342";"Moraleja de Matacabras";71;34;37
"05";"1355";"Muñana";586;304;282
"05";"1368";"Muñico";150;80;70
"05";"1380";"Muñogalindo";452;245;207
"05";"1393";"Muñogrande";111;58;53
"05";"1407";"Muñomer del Peco";137;74;63
"05";"1414";"Muñopepe";101;53;48
"05";"1429";"Muñosancho";169;75;94
"05";"1435";"Muñotello";128;69;59
"05";"1440";"Narrillos del Álamo";172;90;82
"05";"1453";"Narrillos del Rebollar";79;40;39
"05";"1491";"Narros de Saldueña";199;110;89
"05";"1472";"Narros del Castillo";259;142;117
"05";"1488";"Narros del Puerto";40;22;18
"05";"1526";"Nava de Arévalo";1.007;524;483
"05";"1532";"Nava del Barco";201;105;96
"05";"1511";"Navacepedilla de Corneja";148;81;67
"05";"1547";"Navadijos";64;37;27
"05";"1550";"Navaescurial";95;54;41
"05";"1563";"Navahondilla";137;81;56
"05";"1579";"Navalacruz";328;161;167
"05";"1585";"Navalmoral";625;317;308
"05";"1598";"Navalonguilla";456;231;225
"05";"1602";"Navalosa";527;276;251
"05";"1619";"Navalperal de Pinares";907;441;466
"05";"1624";"Navalperal de Tormes";142;77;65
"05";"1630";"Navaluenga";2.009;1.018;991
"05";"1645";"Navaquesera";68;28;40
"05";"1658";"Navarredonda de Gredos";486;252;234
"05";"1661";"Navarredondilla";304;149;155
"05";"1677";"Navarrevisca";402;207;195
"05";"1683";"Navas del Marqués (Las)";4.315;2.163;2.152
"05";"1696";"Navatalgordo";352;180;172
"05";"1700";"Navatejares";108;49;59
"05";"1717";"Neila de San Miguel";127;66;61
"05";"1722";"Niharra";202;102;100
"05";"1738";"Ojos-Albos";51;25;26
"05";"1743";"Orbita";110;54;56
"05";"1756";"Oso (El)";222;125;97
"05";"1769";"Padiernos";238;123;115
"05";"1775";"Pajares de Adaja";193;98;95
"05";"1781";"Palacios de Goda";529;263;266
"05";"1794";"Papatrigo";337;176;161
"05";"1808";"Parral (El)";132;70;62
"05";"1815";"Pascualcobo";49;27;22
"05";"1836";"Pedro-Rodríguez";215;101;114
"05";"1820";"Pedro Bernardo";1.354;700;654
"05";"1841";"Peguerinos";310;163;147
"05";"1854";"Peñalba de Ávila";131;75;56
"05";"1867";"Piedrahíta";2.225;1.088;1.137
"05";"1873";"Piedralaves";2.124;1.065;1.059
"05";"1889";"Poveda";90;51;39
"05";"1892";"Poyales del Hoyo";762;390;372
"05";"1906";"Pozanco";55;30;25
"05";"1913";"Pradosegar";176;93;83
"05";"1928";"Puerto Castilla";148;83;65
"05";"1934";"Rasueros";371;194;177
"05";"1949";"Riocabado";202;114;88
"05";"1952";"Riofrío";330;177;153
"05";"1965";"Rivilla de Barajas";93;49;44
"05";"1971";"Salobral";129;65;64
"05";"1987";"Salvadiós";126;66;60
"05";"1990";"San Bartolomé de Béjar";82;37;45
"05";"2004";"San Bartolomé de Corneja";124;65;59
"05";"2011";"San Bartolomé de Pinares";753;400;353
"05";"2063";"San Esteban de los Patos";45;25;20
"05";"2085";"San Esteban de Zapardiel";69;34;35
"05";"2079";"San Esteban del Valle";921;478;443
"05";"2098";"San García de Ingelmos";175;94;81
"05";"9014";"San Juan de Gredos";413;218;195
"05";"2102";"San Juan de la Encinilla";142;65;77
"05";"2119";"San Juan de la Nava";698;365;333
"05";"2124";"San Juan del Molinillo";343;192;151
"05";"2130";"San Juan del Olmo";180;101;79
"05";"2145";"San Lorenzo de Tormes";66;33;33
"05";"2158";"San Martín de la Vega del Alberche";320;180;140
"05";"2161";"San Martín del Pimpollar";348;191;157
"05";"2177";"San Miguel de Corneja";114;54;60
"05";"2183";"San Miguel de Serrezuela";220;116;104
"05";"2196";"San Pascual";59;36;23
"05";"2200";"San Pedro del Arroyo";471;243;228
"05";"2315";"San Vicente de Arévalo";225;113;112
"05";"2047";"Sanchidrián";802;414;388
"05";"2050";"Sanchorreja";135;67;68
"05";"2222";"Santa Cruz de Pinares";213;120;93
"05";"2217";"Santa Cruz del Valle";654;332;322
"05";"2269";"Santa María de los Caballeros";161;81;80
"05";"2243";"Santa María del Arroyo";141;73;68
"05";"2256";"Santa María del Berrocal";604;283;321
"05";"9029";"Santa María del Cubillo";398;225;173
"05";"2275";"Santa María del Tiétar";364;193;171
"05";"2281";"Santiago del Collado";298;184;114
"05";"9040";"Santiago del Tormes";290;145;145
"05";"2294";"Santo Domingo de las Posadas";92;43;49
"05";"2308";"Santo Tomé de Zabarcos";122;67;55
